TrialIndex,Event,GazeX,GazeY,Timestamp
0,fixation,784.7340538909716,607.4084960525593,1766823381310
0,targetOnset,827.8372597427685,448.48620693751405,1766823382481
0,response,716.4732529781211,521.3326083084245,1766823383035
1,fixation,665.1612523915176,554.6328464033595,1766823384781
1,targetOnset,585.3543345147715,458.19927992408446,1766823386013
1,response,566.8673415048675,441.67338817113,1766823386753
2,fixation,628.0613915943846,412.29521258043934,1766823388308
2,targetOnset,564.4846830746571,353.9049997465974,1766823389494
2,response,601.3273970010218,426.4352741910544,1766823390060
3,fixation,605.3219887123356,423.54209920878884,1766823391780
3,targetOnset,576.0899312028537,443.0241992330002,1766823393291
3,response,664.1960500285314,468.2559754767933,1766823393691
4,fixation,802.9820552902896,253.97025096338675,1766823395284
4,targetOnset,583.3594387291173,410.206232530413,1766823396887
4,response,630.5848329768021,550.0299123667062,1766823397601
5,fixation,778.0513980732852,613.7880164631624,1766823398831
5,targetOnset,407.5150956482397,475.93203721355405,1766823400095
5,response,660.1919384016938,479.3925807240334,1766823400723
6,fixation,772.1139499750866,516.4213028068635,1766823402307
6,targetOnset,644.9923892940462,407.21831208501015,1766823403624
6,response,670.7695800103482,523.8223695911985,1766823404110
7,fixation,557.664121295855,320.19103341838445,1766823405823
7,targetOnset,468.45068923875584,342.3145298175562,1766823407312
7,response,544.2548677087017,449.2571636026292,1766823407802
8,fixation,825.2281142530094,653.9377110103738,1766823409365
8,targetOnset,713.4214998561539,537.031173429864,1766823410911
8,response,677.3426138359484,462.90487249161197,1766823411737
9,fixation,721.1066512388206,635.2748550102922,1766823412868
9,targetOnset,547.2834350450083,409.2680446682552,1766823414032
9,response,595.6436835627744,415.2330502536489,1766823414630
10,fixation,666.9247940943616,372.39964416587105,1766823416420
10,targetOnset,616.9184745885522,428.11711839334276,1766823417769
10,response,614.2506375724896,418.06322901030694,1766823418398
11,fixation,655.9563775208327,398.7737294084233,1766823419917
11,targetOnset,683.4012791810349,420.1848930145048,1766823421442
11,response,715.0654460909375,430.4457992001488,1766823421994
12,fixation,765.7603565662567,449.6268549686647,1766823423416
12,targetOnset,617.4371810297903,404.61324058114315,1766823424647
12,response,668.2658857231115,573.6468882713872,1766823425267
13,fixation,781.6709434778198,491.926494785062,1766823426942
13,targetOnset,481.6631840895547,321.1685820790305,1766823428242
13,response,586.5990151975318,306.13546547699946,1766823428826
14,fixation,868.1259278964735,345.9564227683853,1766823430474
14,targetOnset,1078.6007058450537,563.2316888228734,1766823431714
14,response,648.8749166163323,513.9977342279672,1766823432354
15,fixation,569.4614176261734,438.0913149943781,1766823434144
15,targetOnset,808.5641028884708,522.3855079545804,1766823435738
15,response,736.1088689663842,557.8965869762729,1766823436393
16,fixation,802.356988059524,603.961676316072,1766823437827
16,targetOnset,678.0609208871899,548.5488963329035,1766823439112
16,response,571.1359148445941,520.9524296431703,1766823439739
17,fixation,638.4681159473415,481.8058753010633,1766823441321
17,targetOnset,823.9414635425414,553.7610575219793,1766823442858
17,response,809.3487693300445,513.7326882439021,1766823443527
18,fixation,706.5581127740388,607.4365403588048,1766823444737
18,targetOnset,723.9018026469837,557.0116879414907,1766823446191
18,response,612.8600211951806,415.16626470109503,1766823447152
19,fixation,663.087127471313,56.7340252551699,1766823448302
19,targetOnset,595.0629498803617,87.13377189848826,1766823449629
19,response,619.7931462047883,499.25151737819874,1766823450196
20,fixation,1081.8001122280514,642.5462952661168,1766823451922
20,targetOnset,1176.9147203742953,607.2783316653537,1766823455012
20,response,970.0824326353357,550.9012919212431,1766823456368
21,fixation,842.5064264625652,506.99698122332006,1766823458152